index,title,simpletags,deepertags,degree
109,bachelor of arts political science and government,bachelor arts political science government,Political Theory Indian Government Politics Comparative Government Politics International Relations ENVIRONMENTAL SCIENCE  Legislative Support Public Opinion Survey Research Democratic Awareness Legal Literacy Conflict Peace Building Peace Comparative Political Theory Administration Public Policy Concepts Theories Democracy Governance Globalization Human Rights Gender Environment Archives Consulting Firms Colleges Universities Diplomacy Embassies Government Agencies Intelligence Wings law Firms Politics Public Policy Organisations Public Relations Departments Publishing Houses Research Organisations Social Work Organisations,bachelor of arts
110,bachelor of pharmacy pharmacist,bachelor pharmacy pharmacist,Human Anatomy Physiology Pharmaceutical Pharmaceutics Inorganic Chemistry Communication skills remedial Biology Remedial Mathematics Human Anatomy Physiology Inorganic Chemistry Organic Chemistry Biochemistry Pathophysiology Computer Applications Pharmacy Environmental sciences Anatomy Physiology Biochemistry Pharmacology Computer Applications Pharmacy Physical Pharmaceutics Microbiology Medicinal Chemistry Pharmacognosy Phytochemistry Herbal Drug Technology Biostatistics Research Methodology Social Preventive Pharmacy Pharma Marketing Management Pharmaceutical Regulatory Science Pharmacovigilance Quality Control Standardization Herbals Computer Aided Drug Design Cell Molecular Biology Cosmetic Science Experimental Pharmacology Instrumentation Dietary Supplements Nutraceuticals ,bachelor of pharmacy
111,bachelor of dental surgery dentistry,bachelor dental surgery dentistry,General Human Anatomy Embryology Histology Dental Materials General Pathology Microbiology Preclinical Prosthodontics Crown Bridge General Dental Pharmacology Therapeutics General Medicine Oral Maxillofacial Surgery General Surgery Oral Medicine Radiology Oral Pathology Microbiology Orthodontics Dentofacial Orthopaedics Orthodontics Dentofacial Orthopaedics Oral Maxillofacial Surgery Oral Medicine Radiology Prosthodontics Crown Bridge Pediatric Preventive Dentistry Science Dental Materials Conservative Dentistry Endodontics Manual Oral Histology Oral Pathology Periodontology Principles Practice Medicine Dental Anatomy Physiology Occlusion Conservative Dentistry Endodontics Conservative Dentistry Endodontics Pediatric Preventive Dentistry Oral Pathology Oral Microbiology Preclinical Conservative Dentistry General Human Physiology Biochemistry Nutrition Dietetics Preclinical Prosthodontics Crown Bridge Dental Anatomy embryology Oral Histology ,bachelor of dental surgery
112,post graduate diploma public health management,post graduate diploma management health public,Applied Preventive Medicine Biostatistics Environment Health Nutrition Health Epidemiology Microbiology Protozoology Entomology Helminthology Epidemiology communicable diseases non communicable diseases Mental health Geriatrics Reproductive Child Health RCH Social sciences Medical Ethics Demography Population Control Occupational Health National Health Program Health care delivery system Health management health planning Health Economics International Health Telemedicine Public health administration Health Education Communication NGO health care delivery system Public Health Chemistry,post graduate diploma
113,doctor of medicine community medicine,doctor medicine medicine community,Epidemiology Biostatistics Respiratory Infections Intestinal Infections Arthropod Borne diseases Zoonoses Bacterial Zoonoses Surface Infections Emerging Re-emerging infectious diseases Communicable Diseases Health Management Reproductive Child Health Family Planning Population Medicine  Person Disability Welfare Rehabilitation Urban Occupational health Safety Population Science Genetics Mental Medical Sociology Behavioral Sciences Information Technology Epidemiology Diseases Biostatistics Entomology Environmental Sanitation Reproductive Child Health RCH Demography Family Planning Health Planning Management Nutrition Sociology School Health Occupational Health Health Education Information Education Communication Urban Health,doctor of medicine
114,post graduate diploma rural development,post graduate diploma development rural,Rural Planning Development Panchayati Raj Rural Administration Natural Resources Development Management Rural Marketing Management Rural Energy Planning Transfer Management Technological Innovations Rural Community Facilities Services Tribal Communities Crop Soil Water Management Livelihood Issues Problems Women Child Development Health Nutrition Gender Society Social Security Problems Policies Program Networking Communication Agri Business Enterprises Agro Products Companies Educational Research Institutes Financing Agencies Food Agricultural Marketing Areas Human Resource Offices Marketing Sectors Purchase General Management Sectors Rural Co Operative Sectors ,post graduate diploma
115,"post graduate  dietetics and clinical nutrition services, food science",post graduate science food services nutrition clinical dietetics,Research Methods Statistics Nutritional Biochemistry Advanced Nutrition Medical Nutritional Management Public Nutrition Health Paediatric Geriatric Nutrition Research Applications Clinical Nutrition Dietetics Management Specific Disease Conitions Food science Advanced Nutrition Diet Therapy Financial food management Research Methodology statistics Clinical Nutrition Nutritional management safety food science Nutritional Biochemistry Clinical Nutrition developmental stages Community nutrition Food Science Diet control Nutraceuticals functional foods Food cost quality control Human Rights Functional Foods Nutraceuticals Critical Care Medical Nutritional Applied Food Science Product Path physiology Metabolism ,post graduate 
116,master of social work public health management,masters social work management health public,Public Health health system policy Developing countries Health Management Epidemiology Biostatistics Demography population sciences health economics financial management budgeting Social behaviour change communication health care Reproductive Maternal Neonatal Child Health Adolescent Health RMNCH A Family Planning social research Environment occupational Law ethics public health Biostatistics Epidemiology Survey design Infectious disease NCD Strategic management Entrepreneurship Operational research Financial management budgeting communication Strategic management health care Health policy planning evaluation NHPs Translating research policy health advocacy National global perspective non governmental organizations Sexual Reproductive health Maternal child health Adolescent Gender Public nutrition ,master of social work
117,master of education social sciences,masters education sciences social ,Philosophy Education Psychology Learning Development Educational Studies Research History Political Economy Sociology Curriculum Teacher Education Policy Perspective Educational Research Methods Statistics Professional Development Teachers Elementary School Stage Secondary School Stage Comparative Educational Administration Planning Guidance Counseling Gender Education Development Democracy Human Rights Literacy Life long Education Socially Disadvantaged Groups Measurement Evaluation Economics Policy Research Educational Technology Life Skills Inclusive ,master of education
118,master of sociology sociology,masters sociology sociology,Sociological Theories General Sociology Religion Society Political Sociology Contemporary Social Theory Sociological Research Sociology Development Economic Sociology Modern Sociological Gender Society Social Change Political Order Sociology Education Environment Population Society Urban Sociology Social Problems Sociology Violence Design Social Research Social Suffering Politics Sociology Environment Critical Social Research Truth Ethics Power Qualitative Research Quantitative Data Analysis Social Change & Political Order Violence Design of Social research Culture Personality Society Family Life Kinship Anthropological Economy Society Sociology Social Stratification Religion Society Sociological Theory Techniques Social Research Polity Society Knowledge Law Medicine Science Minorities Ethnic Groups Bureaucracy Development Education Tribal Peasant Urban Life Professions Social Anthropology Analysis Monographs Statistics Social Sciences ,master of sociology
119,master of arts human rights,master arts rights human,Philosophical Perspectives Human Rights Human Rights Criminal Justice System Human Rights Criminal Justice System International Weaker Sections Human Rights International Obligations Protect Civil Society Social Movements Human Rights Women Children Duties Aged Disabled Minorities Environment Working Class Enforcement Science Technology International Humanitarian Refugee Laws Development Globalization People Right Self ,master of arts
120,master of arts clinical social work,masters arts work social clinical,Research Statistics Sociology Social Workers Dynamics Personality Human Behaviour Ecology Environment Social Work Dynamics Development Contemporary Problems Community Health Philosophy Exclusion Inclusive Policy Social Problem Development Rehabilitation Resettlement Research Quantitative Analysis Methods Human Growth Development Visual Culture Ideology Ethics Administration Legislation labour Welfare Corporate Social Responsibility Vulnerable Children Development Tribal Anthropology Medical Micro Level Study Exclusion Block Field Work Placement Structured Experience Laboratory Research Methodology Concurrent fieldwork Community Placement Skill Development Assessment IT Social Sector Community Intervention Entrepreneurship Development Population Dynamics Gender Issues Criminology Corrections Policy Social Welfare Administration ,master of arts
121,bachelor of ayurvedic medicine and surgery ayurveda medicine,bachelor ayurvedic medicine surgery ayurveda,Ayurveda Sanskrit Samhita Padartha Vigyana Ayurvedic philosophy Rachna Sharira anatomy Rasa Shastra avam Bhaisajya Kalpana Pharmaceuticals Ayurveda Dravyaguna Materia Medica Ayurveda Agadtantra VyavaharAyurveda Vidhi Vaidyaka Toxicology Jurisprudence  Nidan Vikriti Vigyana Pathology Nadi Parkisa Pulse diagnosis Svasthavritta Yoga Personal social hygiene dietetics Kaya Chikitsa General Medicine Panchakarma Rasayana Vajikarana Shalya tantra General surgery parasurgical techniques Shalakya tantra ENT Eye Dentistry Prasuti tantra avam Stri roga Gynaecology Obstetrics Kaumara bhritya Paediatrics Medical Ethics Health Regulations Yoga Charaka Samhita Kriya Sharira physiology ,bachelor of ayurvedic medicine and surgery
122,"bachelor of medicine, bachelor of surgery medicine",bachelor surgery bachelor medicine,Pre Clinical Anatomy Biochemistry Physiology Para clinical Pharmacology Pathology Microbiology Forensic Medicine Toxicology Clinical Anesthesiology Community Medicine Dermatology Venereology Obstetrics Gynaecology Medicine Orthopedics Otorhinolaryngology Psychiatry Ophthalmology Pediatrics Surgery Medicine Surgery Orthopaedics Obstetrics Gynaecology Welfare Planning Paediatric Ophthalmology Otorhinolaryngology Casualty Upper limb Thorax Human Embryology Clinical Anesthesiology Lower Limb Abdomen Pelvis Gynaecology Medical Microbiology anesthesiology Short Practice Surgery Clinical Neuroanatomy Head Neck Brain Biochemistry Dermatology Dermatology Sexually Transmitted Diseases E.N.T. Ear Nose Throat Forensic Medicine Toxicology Bio Physics Radiotherapy,"bachelor of medicine, bachelor of surgery"
123,bachelor of homeopathic medicine and surgery medicine,bachelor homeopathic surgery medicine,Anatomy Physiology Biochemistry Homoeopathic Pharmacy Organon Medicine Principles Homoeopathic Philosophy Psychology ,bachelor of homeopathic medicine and surgery
124,master of public health Epidemiology,masters public health epidemiology,public health Epidemiology Biostatistics nutrition Population health Social epidemiology Human biology Infectious diseases control programmes Immunology Public health nutrition public health programmes Quantitative research Ageing Society Qualitative research Monitoring Health policy planning Noncommunicable diseases Diagnostics injuries Nutrition Maternal child Health Behaviour Research Social epidemiology Gender issues Global Health Integrative Medicine PH disasters outbreaks economics Environmental occupational Disability Urbanization Bioethics biosafety regulations Behavioral Social Environmental Occupational Health Biostatistics Global Health Epidemiology Health Communities Planning Development,master of public health
125,bachelor of arts english language and literature,bachelor arts english language literature,History English Literature Drama Poetry Novels Tradition Literary Criticism European Modernism American Literature African Writings Writings Canada Writings Australia Writings New Zealand Classical Writings India Writing Women Writing Literature Forms Popular Fiction Popular Literature Literary Theory Literary Terms Post Colonial Writing Modernism Post Modernism Realism Existentialism Environmental Studies,bachelor of arts
126,bachelor of education life sciences,bachelor education sciences life science,Childhood Growing Curriculum Development school Education India status Problems Issues Language curriculum Learning Teaching School Internship Creating Inclusive school Educational Technology Gender School Society Educational Psychology Pedagogy school subject Reading reflecting Texts ,bachelor of education
127,bachelor of arts psychology,bachelor arts psychology,Psychological Processes Biological Bases Behaviour Developmental Social Industrial Psychopathology Guidance Counselling Community Mental Health Centres Advertising Industry Child Youth Guidance Centres Vocational Rehabilitation Offices Correctional Programs Research Centres Rehabilitation Welfare Organizations Research Establishments Career Employment Specialist Developmental Psychologist Career Counsellor Day care Centre Supervisor Child Support Specialist Forensic Psychologist Clinical Psychologist Human Resources Assistant Community Relations Officer Health Educator Social Worker Industrial Organization Psychologist Counselling Psychologist Psychiatric Assistant Social Psychologist Educational Psychology Psychology Health Well Being Counseling Psychology Child Adolescent Development Abnormal Psychology Industrial Organizational Psychology Social Psychology Emergence Growth Psychology Psychological Research Statistical Methods Psychological Research ,bachelor of arts
128,bachelor of commerce business,bachelor commerce business,"Accounts Computer Economics Business Environment Public Health Computer Applications IT Accounts Management Income Tax Laws Financial Markets Institutions Banking Insurance Indian Economy Cost accounting Banking Financial systems Entrepreneurship Income Tax Marketing Management Advance accounting Indirect Taxes Mercantile Law Marketing Management Decision Analysis Human Resource Law Logistics Management Economics Information Management Labour Relations Auditing Corporate Governance Cost Accounting Financial Accounting Business Communication Cyber Crimes Laws Auditing Management Science Insurance Marketing Business Financial Accounting Financial System Microeconomics Cost Management Accounting Auditing Assurance Taxation Environmental Studies Financial Management Industrial Psychology Econometrics Business Organisational Business Laws Company Laws Indirect Tax Laws Human Resource Management Banking Macroeconomics Business Laws Company Law Politics Public Policy Transport Economics Taxation Microeconomics Corporate Accounting cost accounting labor Elements company Law Macroeconomics Managerial communication	Overheads SPL banking system central banking Business Communication Marketing Management Subjects",bachelor of commerce
129,master of science clinical research,masters science research clinical,Human Anatomy Physiology Pathophysiology Pharmacology Drug development Regulations Clinical Research Research Methodology Applied Biostatistics Pharmacovigilance Safety Monitoring Pharmacoepidemiology Pharmacoeconomics Fundamentals clinical operations Clinical Data Management Statistics Clinical Research Basics Pharmacy Drug Discovery Development IPR Data Exclusivity Bioethics Clinical Research Pre Clinical Studies Pharmaceutical Biotechnology Molecular Biology Biotechnology Regulatory Affairs Human Biology Special Regulatory Processes Pharmacogenomics Project Management Business Development Audit Inspections Pharmacovigilance Safety Monitoring Reporting Medical Writing,master of science
130,bachelor of arts human development and childhood studies,bachelor arts studies childhood development human,Child Development Human Development Empowerment Child Rights Gender Children Special Needs Guidance Counselling Parent Community Education Care Well being Human Development Child Rights Social Action Adolescent Challenges Parentingent Women Children early Childhood Care Education,bachelor of arts
131,Public Health Worker,bachelor bachelors bachelor's master masters master's behavioral health science epidemiology biostats biostatistics pharmacy management public diploma health community medicine development rural food services nutrition social work education sciences human rights arts clinical sociology botany language psychology commerce research clinical studies childhood development human pharmacist dental dentistry post graduate diploma political preventive doctor medicine rural development mental life business social dietetics homeopathic surgery ayurvedic ,health management policy disasters emergencies health education communication management administrative health regulations policy making law business finance writing public health certification programs sociology disasters public health industry  biostatistician epidemiologist environmental scientist engineer project manager environmental health health educator water quality specialist public health officer community health workers health safety engineer patient advocate public health workers  health hazards air pollution climate change science electromagnetic fields sea levels acid rain greenhouse gases behavioral science health education biostatistics international global health epidemiology,profile
132,post graduate diploma mass communication and journalism,post graduate diploma mass communication journalism,mass communication Language Communication Visual Communication Media Laws News Reporting Specialized Writing Layout Design Photo Journalism Writing Media News Photography Assignments Reporting Public Relations Corporate Communications Radio Broadcasting Social Media Television Broadcasting TV Advertising Media Business Management Economy Finance Reporting Media Organizations Media Ethics Media Research Media Laws ,post graduate diploma
133,"master of business administration arts, entertainment, and media management",masters business administration arts entertainment media management,Managerial Economics Media Management Quantitative Techniques in Management Marketing Management Principles Media Entertainment Business Organizational Behaviour Financial Managerial Accounting Human Resource Managerial Communication Media Entertainment Planning Business Research Methodology Strategic Management Entrepreneurship Management Innovations Consumer Behaviour Sound Production Music industry Management Management Information System Comprehensive Project Integrated Marketing Communications Strategic Marketing Brand Management Censorship Ethics Media Law Film TV Production Programming Management Social Media Digital Media Organizational Behaviour Event Management Marketing Management Consumer Behaviour Principles of Management,master of business administration
134,master of science dental public health and education,masters science education health public dental,Bioethics Law Biostatistics Statistical Analysis Environmental Health Health Care Management Finance Dental Public Health Oral Epidemiology Dental Public Health Literature Dental Public Health Seminars Dental Public Health Dental Public Health Grand Rounds Dental Public Health Research Individual Community Population Health Biostatistics,master of science
135,master of science medical microbiology,masters science microbiology medical,Bacteriology Psychology Mycology Virology Immunology Instrumentation Biological Application Industrial Microbiology Food Microbiology R DNA Technology Microbial Recombinant Molecule Environmental Microbiology Biodiversity Biochemistry Physiology Molecular Biology microbial Genetics Biostatistics Medical Bioinformatics computer application Diversity Prokaryotic Eukaryotic Microbes Enzyme Technique Biochemistry Microbial Physiology Metabolism Environmental Microbiology Virology Plant Pathogen Interaction Immunology Pathogenicity Molecular Biology Bioinformatics Recombinant DNA Technology Microbial Genetics Industrial Food Microbiology Marine Microbiology,master of science
136,bachelor of arts english honours,bachelor arts honours english,English Drama Environmental Sciences Creative Writing Holistic Wellness Life Skills Communication Skill Personality Development Ethics Values Indian Policy Governance Social Media Advertising Computer Fundamentals Public Relation Applied Communication Society Economy India Organizational Behaviour Entrepreneurship Small Business Total Quality Management,bachelor of arts
137,Health / Medical Journalism and Medical Writer,journalism bachelors bachelor bachelor's master masters master's communication public health science medical biotechnology post graduate diploma mass business administration entertainment media management dental dentistry physics medical microbiology arts application services support information computer applications surgery,ethics principles medical content terminology medical information journalism public health,profile
138,doctor of medicine forensic medicine,doctor medicine medicine forensic,General Principles Forensic Medicine Toxicology Basic Sciences Allied Subjects Medical Ethics Law Medical Jurisprudence Clinical Forensic Medicine Forensic Pathology Toxicology Forensic Psychiatry medical sciences Forensic Medicine clinical Forensic Toxicology Medical Jurisprudence Forensic Pathology Forensic immunology Recent Autopsy case long case Procedure Observations Interpretation Making report Medico legal report writing short cases Injury case Sexual offense case  Age determination case Poisoning case Spots Poisons Weapons Bones Slides X-ray films Tests body fluids stains Forensic Medicine Professor Lab Junior Medical Officer Revenue Assurance Forensics Analyst Forensics Forensic Advisory Analytic Forensic Core Forensic Dispute,doctor of medicine
139,"bachelor of science microbiology, general, botany and chemistry",bachelor science microbiology general botany chemistry,Macromolecular Structure Analysis Organic Mechanisms Biology Biophysics Instrumental Transmission Genetics Cell Structure Dynamics Microbiology Biomathematics Microbial Growth Reproductions Chemistry Computer C Programming  Digital Logic Microscope Instrumental Microbial Genetics Molecular Genetics Immunology omputational Biology Bioinformatics Plant Animal Tissue Culture Techniques Applications Biodiversity Taxonomy Microbial Diversity Classifications Microbial Biotechnology Data Structure Computer Organizations DBMS Computer Network Numerical Analysis DNA Typing Proteomics Beyond Model Organisations Human Genome Recombinant DNA Technology  Medical Microbiology Environmental Biotechnology Food Agriculture Microbiology genetic Engineering Microbial Technology Social Legal Ethical Industrial Microbiology Biodiversity ,bachelor of science
140,master of science forensic psychology,master science psychology forensic ,Advanced Issues Forensic Psychology Understanding Violence Risk Threat Assessment Crime Psychology Law Graduate Study Psychology Psychopathology Personality Disorders Behavioral Interventions Methods Tools Psychological Violence Risk Assessment Ethical Concerns Multicultural Issues Forensic Psychology Gender Violence Domestic Violence Sexual Assault Child Abuse Therapeutic Jurisprudence Psychological Issues Dependency Family Law Cases Competencies Syndromes Sanity Issues Behavioral Criminology Suicide Prevention Crisis Intervention Trauma Informed Assessment Child Maltreatment School Workplace Violence Substance Abuse Mental Illness Trauma Police Psychology,master of science
141,bachelor of science forensic medicine,bachelor science forensic medicine,Behavioural Science Crime Socio Cultural Psychological Factors Crime Scene Investigation Importance Location Evaluation Criminology Criminal Behaviour Expert Testimony Laws Specially Law Criminal Behaviour Blood Analysis Phenolphthalein Test Benzidine Test Blood Pattern Analysis Grouping Species Identification Physical Evidence Forensic Science Ten Digit Fingerprint Classification Latent Fingerprint Footprints Tool Marks Tyre Impressions Metric System Physical Properties Evidence Analysis Physical Evidences Glass Fibre Soil Paint Hair Analysis Biological Fluids Semen Vaginal Swabs Saliva Sweat Urine Feces Vomit Biology Chemistry Toxicology Poisons Human Body Pharmacological Toxicological Chemical Examination Poisons Drugs Fraudulent Documents Erasers Obliterations Overwriting Indented Writing Invisible Writing Forensic Anthropology Handwriting Typewriting Analysis Photography Arson explosion investigation Microscopy Microscope Compound Microscope Comparison Microscope Scanning Electron Microscope Fluorescence Microscope Stereo Microscope Research Methodology Statistics Ballistics Firearms Examination Cartridges Firearms Determination range Firing Accidental Firing Collection Firearm related evidence DNA Fingerprinting Personal Identification Wounds Medico Legal Crime Scene Investigator Drug Tester Drug Analyst Environmental Investigator Forensic Scientist Forensic Consultant Forensic Researcher Police Officer Private Investigator ,bachelor of science
142,master of arts clinical psychology,masters arts psychology clinical,Philosophy Psychology Personality Quantitative Research Methods Psychology Cognitive Psychology Biological Foundations Behaviour Advanced Social Psychology Clinical Psychology Psychopathology Psychological Measurement Statistics Cognitive Psychology Biological Foundations Behaviour Developmental Psychology Qualitative Research Methods Psychology Research Methods Psychology Biopsychology Cognitive Processes Counselling Sports Exercise Psychology Applied Social Psychology Statistical Methods Psychology  Biopsychology Higher Cognitive Processes Health Management School Psychology Community Development Forensic Psychology Entrepreneurship Development Course Psychological Health,master of arts
143,post graduate diploma forensic psychology,post graduate diploma psychology forensic ,PSYCHOLOGICAL DISORDERS AND CRIMINAL BEHAVIOUR POLICE Violent Criminal behavior and Drug related crime Selection & Training of law enforcement Prevention assessment VICTIM COURT ROOM INVESTIGATIVE PSYCHOLOGICAL TESTING ASSESSMENT AND EVALUATION IN FORENSIC CORRECTIONAL PSYCHOLOGY PSYCHOLOGY REHABILITATION INTERVENTION JUVENILE DELINQUENTS and VICTIMS Biological Influences Criminal Behavior Cognitive Psychology Planning Violence Assessment Intervention Criminal Profiling Criminal Evidence Police Psychology Crime Scene Investigation Interrogations Confessions Social Psychology Addiction Criminal Psychology Forensic Crime Homicide Investigation Lying Deception Reading People Crisis Negotiations Forensic Psychology Criminal Belief Systems Motivation Emotions Interview Interrogation ,post graduate diploma
144,Clinical Forensic Medical Examiner,Forensic pathologists clinical pathology Doctor Medicine MD Doctor Osteopathy Bachelor Medicine Bachelor Surgery MBBS science microbiology general botany biotechnology master masters psychology philosophy chemistry arts post graduate diploma ,Perform autopsies Evaluate historical law-enforcement investigative information Collect medical evidence Document sexual assault Reconstruct a cause of death medical training forensic pathologists toxicology wound ballistics trace evidence DNA technology forensic serology Collects preserves evidence toxicologic samples autopsy autopsies extraction fluids tissue samples,profile
145,bachelor of science biophysics,bachelor science biophysics,"Microscopic anatomy Mammalian Physiology Biophysical chemistry Physicochemical techniques Functional anatomy Microbiology Biochemistry Medical Biophysics Cytology cell physiology Molecular Biology Neurobiophysics Molecular Biophysics Radiation Biophysics Biomedical instrumentation Electron microscopy Genetics Cell Structure Function Scientific Writing Chemical Measurement  Mechanics Properties Matter Optics Calculus C Solid state Physics Mechanics Relativity Electronics Electricity magnetism Electromagnetic Theory Nuclear Physics Quantum Mechanics Renewable Energy Oscillations Waves Instrumentation Statistical Mechanics Digital Electronics Applied Optics 
Atomic Molecular Physics Verilog FPGA Based System Design Nanomaterials Nuclear Particle Physics Astronomy Astrophysics Atmospheric Particle Astrophysics Biophysics Radiation Science Mathematical Physics Environmental Studies Physical Chemistry Organic Chemistry ",bachelor of science
146,master of business administration hospital management,masters business administration management hospital,Marketing Management Business Statistics Organizational Behaviour Financial Accounting Business Law Managerial Economics Epidemiology Biostatistics Organization Administration Supportive services Marketing Strategy Applications Business Mathematics Operations Research Human Resource Management Financial Management Management National Health Programs Health Policy Administration Organization Administration Clinical Services Materials Management R&D Management Knowledge Process Outsourcing Management Information Systems Business Policy Strategic Management Entrepreneurship Management Foreign Language Organization Administration Super Specialty Services Financing Health Services Pharmaceutical Management Health Education Communication Legislation Health Hospital Quality Management International Business Environment Management Ethics Business Management Control Systems Applied Epidemiology Hospital Planning ,master of business administration
147,doctor of medicine radiology,doctor medicine radiology,Production X rays Interaction radiation matter Radiography Fluoroscopy Imaging systems Nuclear Medicine Radiation Biology protection Musculo skeletal system Respiratory Cardiovascular system Gastrointestinal Urogenital tract CNS Spine Imaging Obstetrics Gynecology ENT EYES Teeth Soft tissue Breast Endocrine System Clincally Radio Nuclide imaging Contrast Medical Physics General Radiology Ultrasound CT Radiology Ultrasonogram C.T. Scan MRI Nuclear Medicine Intervention ,doctor of medicine
148,bachelor of law LLB,bachelor law LLB,"Family Law Law of Contract Law of Crimes Constitutional Law Professional Ethics Bar Bench Relations Accountancy Lawyers Women Law Healthcare Law Criminology Penology Law Media RTI PIL Election Law Law of Evidence Jurisprudence Legal Language Tort Consumer Protection Act Motor Vehicle Act Human Rights International Law Interpretation Statutes Arbitration Conciliation Alternate Dispute Resolution System Taxation Law Comparative Laws Drafting Pleading Conveyancing Conflict Laws Company Law Comparative Laws Administrative Law Code Criminal Procedure Limitation Act Code of Criminal Procedure Juvenile Justice Act Probation Offenders Act Property Laws Environmental Law IPR 
Labor Laws Banking Laws Land Laws Insurance Laws Practical Training Moot Courts Women Law comparative Laws Conflict Laws trust Equity Election Law Law Media Healthcare Law ",bachelor of law
149,post graduate diploma hospital and healthcare management,post graduate diploma hospital healthcare management,Health Service Management Organization Administration Supportive Services Marketing Management Hospital Services Cost Management Accounting Organization Behavior Disaster Management Infection Control Operations Research Research Methodology Organization Clinical Super Specialty Services Delivery Logistics Supply Chain Management Hospital Management Information Systems HMIS Health Policy Healthcare Services Healthcare Marketing Management Materials Equipment Management Strategic Management Marketing Management Quality Assurance Healthcare Hospital Health Insurance Managed Care Health Economics Human Biology Legal Framework Healthcare Microeconomics Taxation Audit NGO Management Human Resource Management Labor Legislation Comparative Health Systems International Health Epidemiology Biostatistics Financial Accounting Marketing Research Accounting Financial Statement Analysis Strategic Human Resource Management Consumer Behavior ,post graduate diploma
150,doctor of medicine internal medicine,doctor medicine medicine internal, Advancement Medicine Sector Diagnostic Investigations Procedures Diseases General Medicines Clinical Epidemiology Biostatistics Application Science Knowledge Counselling Patients Relatives Teaching UG students Ward Patients Management Monitoring ill Patients Research work Journal Conferences Ward Rounds discussions Journal Conferences Clinico Radiological Clinicopathological conferences OPD Patients Management,doctor of medicine
151,post graduate diploma medical law and ethics,post graduate diploma medical law ethics,Law Legal Systems Health Law Ethics Health Law Statutory Health International Doctor Patient Relationship Consent Medical Treatment Confidentiality Medical Practice Abortion Reproduction Assisted Conception Mental Health Euthanasia Regime Clinical Research Drug Trials HIV AIDS Mental Health Law Criminal Law International Human Rights ,post graduate diploma
152,Medico-Legal Advisor,bachelor medicine bachelor surgery doctor medicine forensic science medicine post graduate medical law ethics biophysics masters master master's business administration management hospital post graduate care health LLB homeopathic healthcare internal ethics dental diploma radiology ,Defending clinical negligence claims Reviewing fact-checking statements submission solicitors HM Coroner Preparing clinicians evidence witnesses court Providing emergency advice healthcare professionals dispute resolution mediation witness claimant defence solicitor firms Handling non-clinical staff members visitors Teaching healthcare professionals disseminating learning legal ,profile
153,master of science biotechnology,masters science biotechnology,"Molecular Biology Nuclear Organization Gene  Mutation Transcription Transcriptional Control Translation Gene  Environmental Biotechnology Environmental Protection Physicochemical Bacteriological Waste Water Constituents Bioremediation Cell Biology General Structure Cell Cycle Biology Cytoskeleton Motility Genetic Engineering Genetics Mendelian Laws Inheritance Mendelian Analysis Linkage Crossing Linkage mapping Sex determination Immunology Immune System Defence Mechanisms body Gross features Animal Biotechnology Equipment’s Media Animal Cell Culture Technology cell line culture Culture Media Animal Cell Cultures Serum Protein Media Viability Cytotoxicity Fermentation Technology Industrial Fermentation Fermenter Recovery Purification Industrial Production Chemicals Molecular Biotechnology Isolation Genomic DNA bacterial cell plant cell Isolation RNA Yeast cells Tm DNA Isolation Temperature sensitive conditional Mutant Bacterial Conjunction Bioinformatics Biological Database Data Mining Gene Prediction Genome Analysis Protein Structure Prediction Food Technology Nutrigenomics Food Spoilage Preservation Food Processing Designer Foods Nutraceuticals Genetically Modified Functions Development Histogenesis Lymphoid organs Plant Biotechnology Sterilization Preparation Isolation Explant Suspension cell culture Callus culture Protoplast Isolation culture fusion Anther Pollen culture Advanced Biological Chemistry Genetic Molecular Biology Immunology Environmental Biotechnology Bacteriology Virology Cell Biology	Plant Biotechnology Advanced Biological Chemistry Genetic Molecular Cell Biology Immunology Environmental Biotechnology Plant Biotechnology Animal Biotechnology  Bacteriology Virology Bioprocess Fermentation Genomics Proteomics Data Base Management IPR Biochemical biophysical Genetics Biochemical Biophysical Nano biotechnology Animal Biotechnology Stem Cell Regenerative Medicines Bioprocess Agricultural Biotechnology Bio entrepreneurship Food Nutrigenomics ",master of science
154,masters in medical science and technology biomedical/medical engineering,masters medical science engineering medical biomedical,Biomedical Imaging Systems Image Processing Biomedical Instrumentation Biomechanics Design Algorithms Data Structures Signal Processing Computer Graphics Biomedical Signal Image Processing Material Issues Mechanical Design Biomedical Signal Processing Cardiovascular Biomechanics Process Control Instrumentation Digital Signal Processing Advanced Additive Manufacturing Advanced Composite Materials Biofluid Mechanics Cell Tissue Biological Physics Materials Material Issues Structure Function Biomaterials Bio Inspired Surfaces ,masters in medical science and technology
155,master of science bioinformatics,masters science bioinformatics,Molecular Biology Biochemistry Bioinformatics Applications Bioinformatics Translational Bioinformatics Applications Programming Data Analytics Machine Learning Python Biological Database Systems Bio-molecules Object Oriented Programming Molecular Biophysics Bioinformatics Information Technology Molecular Cell Biology Applied Biostatistics Biological Databases Data Analysis Phylogenetic Analysis Genomics Proteomics Sequence Analysis Data Mining IPR Bioinformatics Bio molecular Model Artificial Neural Networks Chemo Informatics Computer Aided Drug Designing Biodiversity Informatics Bio Image Processing Pattern Recognition,master of science
