index,title,simpletags,deepertags
145,Investment Banking Certification from NYIF,Investment Banking Certification NYIF, Financial Management Financial Statements Recording Financial Information Budgeting Managers Analyzing Benchmarking Financial Information Financial Statements Risk Analysis Ratios Accounting Principles Valuation Basics Time Value Money Basic Valuation Statistics Regression Analysis Free Cash Flow Components Free Cash Flow Capital Budgeting Free Cash Flow Cash Flow Evaluate Investment Opportunities Financial Industry Overview Career Skills Tools Securities Industry Equity Securities Debt Securities Trading Securities Secondary Markets Processing Securities Transactions Common Stock Preferred Stocks Equity-Linked Indexes Bonds Fixed Income Markets Bond Risks Derivatives Futures Forwards Swaps Options Corporate Finance Time Value Money Time Value Applications Capital Budgeting Factors Affecting Financial Decisions Business Valuation The Foundations of Free Cash Flows Weighted Average Cost of Capital Terminal Value DCF Approach Business Valuation limitations DCF Approach Corporate Credit Analysis Industry Company Forecasting Financial Analysis Qualitative Non-financial Analysis Credit Rating Credit Scoring Measuring Risk Portfolio Risk Measurement Operational Risk Fixed Income Portfolio Management Equity Portfolio Management PORTFOLIO MANAGEMENT HEDGE FUNDS PRIVATE EQUITY BUSINESS VALUATION
146,Certified Financial Modeling & Valuation Analyst (FMVA),Certified Financial Modeling Valuation Analyst FMVA,Accounting fundamentals Reading financial statements Fixed income fundamentals Excel crash course for corporate finance Introduction to corporate finance Math for corporate finance Excel modeling fundamentals Accounting fundamentals Financial models and templates library Financial analysis fundamentals Accounting fundamentals Reading financial statements Excel crash course Building a financial model Accounting fundamentals Financial analysis fundamentals Business valuation modeling Budgeting forecasting Accounting fundamentals FP&A monthly cash flow forecasting Building financial model Scenario sensitivity analysis Business valuation modeling Advanced excel formulas Behavioral finance fundamentals Real estate financial modeling Building financial model Excel Business valuation modeling Startup e-commerce financial model Mining financial model valuation Mergers acquisitions M&A modeling Building financial model Business valuation modeling Leverage buyout LBO modeling Financial modeling VBA Business valuation modeling Corporate business strategy 
147,Mergers & Acquisitions Professional Certificate from NYIF,Mergers Acquisitions Professional Certificate NYIF, Mergers Acquisitions Overview Key Drivers Successful Acquisition Attractiveness Target Companies Acquisition Structure Sequence Events Documentation Agreements Managing Value Creation Value Creation Valuation Financing Acquisition Anti-takeover Mechanisms  Anti-trust Policies Free Cash Flow Components Free Cash Flow Cost Capital Capital Budgeting Using Free Cash Flow Modified Free Cash Flow Using Free Cash Flow Evaluate Acquisition Opportunities Integration Acquisitions Legal structures Tax structures Accounting  Letter Intent Seller paper earn outs hope certificates Special cases Tax loss mergers Break-up sum-of-the-parts split-offs LBOs Roll-ups consolidation plays Distressed Bankruptcy M&A Special Purpose Acquisition Corp SPAC Blind pool Reverse merger backdoor IPO Equity Method Consolidation Purchase Accounting Business Combinations Forecasting Performance Combined Company Internal Revenue Code Section Transactions
148,Professional Certificate in Valuation from NYIF,Professional Certificate Valuation NYIF, Time value money Present future value Compounding annual periodic continuous Annuities perpetuities Complex problems Project Analysis Payback discounted payback Internal rate return IRR modified IRR Net present value NPV EVA Pros cons Discounted Cash Flow Valuation Financial Statements DCF intrinsic valuation Cash Flows Real nominal returns Terminal Value Asset values Comparables Perpetuities growing perpetuities Enterprise Value Equity Value Risk return overview Cost Debt Straight Convertible Cost Equity Capital Asset Pricing Model Alpha Beta Equity risk premium Other methods Weighted Average Cost Capital -n theory MM practice Costs financial distress Optimal capital structure Adjusted Present Value Differences WACC valuation process Pros cons Peer Group Valuation  Selecting peer group Key ratios P Es EV EBITDA etc  Bank lending Term loans lines credit Bilateral syndicated loans Debt Investment grade High yield Convertibles Preferreds Equity Private Equity Venture Capital Private Equity Public Equity IPOs Secondary US Rights Offerings Europe Mergers Acquisitions Rationale Payment Leveraged Buyouts Management Buyouts Wrap-up case study  
149,Capital Markets Professional Certificate from NYIF,Capital Markets Professional Certificate NYIF,Capital Markets Key Participants Money Markets Interbank Loans Deposits Certificates Deposit Commercial Paper Repos Treasury Bills Bankers Acceptances Foreign Exchange FX Time Value Money Structure FX Market Market Trades FX Prices Spot Rates Prices Calculating Simple Values Cross Rates FX Forwards Global Financial Markets  global trends financial products articulate macroeconomic reasons bonds equity foreign exchange money market products traded Structure price bond market place financial system capital markets regulation bond equity derivative hedge against risk in real-life financial situations profit loss futures trades swap and calculate the benefit of the swap counterparty Invest money pension fund both geographically asset class equity both issuer's investor's perspectives Distinguish different types stock markets equity valuation major steps IPO process financial Futures Forwards Banking Financial Markets Work Together Derivatives Credit Derivatives Financial Intermediaries Indirect Finance Swaps Options Equity Bond IPO Participants  Types Financial Intermediaries Regulation Financial System Equity Indexes Market Equity Valuation Timing Major Steps IPO Process Debt Equity Money Markets Foreign Exchange Equity Investment Vehicles Internationalization Financial Markets Bond Markets Risk Equity Markets Trading
150,Certified Management Accountant,Certified Management Accountant,"External Financial Reporting Decisions Planning Budgeting Forecasting Performance Management Cost Management Internal Controls Technology Analytics 	Financial Statement Analysis Corporate Finance Decision Analysis Risk Management Investment Decisions Professional Ethics"
153,CCNA Voice,CCNA Voice ,Telephony Call Routing VOIP Call Routing CUCME Call Routing Basics Preparing Network Voice IP Phone Behavior CUCME Administration Basics CUCME StandUp CUCME CUCME StandUp CUCME End Users End User Interfaces Endpoint Implementation Call Coverage Calling Restrictions Routing CUCME Advance Call Coverage Implementing Unity Connection
154,CCNP Voice,CCNP Voice ,"Operating Cisco Collaboration Core Technologies CLCOR Concentration exams CLICA Cisco Collaboration Applications CLICA CLACCM	Cisco Advanced Call Control Mobility Services CLACCM CLCEI Cisco Collaboration Cloud Edge CLCEI CLCNF Cisco Collaboration Conferencing CLCNF CLAUTO Implementing Automation Cisco Collaboration Solutions CLAUI"
155,CCIE Voice,CCIE Voice,infrastructure design protocols codecs endpoints Cisco IOS XE gateway media resources Call Control QoS collaboration applications
157,Institute for Operations Research and the Management Sciences (INFORMS) Certified Analytics Professional (CAP),Institute for Operations Research and the Management Sciences INFORMS Certified Analytics Professional CAP,
158,SAS Certified Big Data Professional,SAS Certified Big Data Professional,Recognize overcome big data challenges Implement critical SAS programming techniques Access transform manipulate data quality reporting analytics statistical techniques Work SAS Hadoop Hive Statistics Visual Exploration Big Data Programming Loading
159,Data Science Council of America (DASCA) Senior Data Scientist (SDS),Data Science Council America DASCA Senior Data Scientist SDS,Statistics central tendencies dispersions averages permutations combinations probability creating graphs charts histograms scatter plots Data Science Applications Business Framework Data Science Driving Business Big Data Analytics Building Pan-Organization Support Data Science Essentials Data Scientists Analytics Essentials Data Scientists Data Scientists strategy data analytics information intelligence visualization score development monetization metamorphosis big data analytics data science Data Lake analytics decision-making strategy business model maturity index preparing big data strategy documentuser experience catalyzing business performance outcomes through business intelligence Unsupervised learning clustering dimensionality reduction regression fundamentals Data Encoding File Formats High-volume streaming data storage real-time streaming data architectures stream batch data processing software engineering Natural Language Processing Time Series Analysis fundamentals Statistics Linear Algebra Probability
160,Big Data Engineering Certifications,Big Data Engineering Certifications,Computer Science Information Technology Computer Applications Programming  Developers Engineers Problem solving Programming Python C++ Java R Platform usage Hadoop Spark etc  SQL NoSQL databases Data mining RDBMS Data structure algorithms Data security management Machine learning AI Tools streaming data capture storage transmission processing Quantitative analysis R Interpretation data visualization
161,Big Data Analytics Certifications,Big Data Analytics Certifications,Problem solving Platform usage Hadoop Spark SQL NoSQL databases Data mining RDBMS Quantitative analysis using R Data structure algorithms streaming data capture storage transmission processing Interpretation data visualization Data security management Programming Python C++ Java Programming R Machine learning AI Business Statistics Marketing Research
162,Data Scientist Certifications,Data Scientist Certifications,Research Design Data Engineering Machine Learning Mining Exploring Data Visualization Ethics Privacy Statistical Analysis Communicating Results Data Science Programming Research Design Application Data Analysis Statistics Data Science Data Engineering Applied Machine Learning Experiments Causal Inference Behind Data Humans Values Deep Cloud Statistical Methods for Discrete Response Time Series Panel Data Machine Learning Scale Natural Language Processing Deep Learning Machine Learning Systems Engineering Computer Vision
163,Oracle Business Intelligence Certification,Oracle Business Intelligence Certification, report model analyze forecast OBIEE Building BI Server metadata repository dashboards Constructing ad hoc queries security settings Configuring managing cache files Oracle BI EPM System Overview Oracle BI Installation Dimensional Modeling Build-Basic Repository Complex Repository Modeling Building Repository Multiple Sources Variables Business Intelligence Enterprise Edition Security MS Office Integration Write Back within OBI EE 
164,EMC Data Science and Big Data Analytics Certification,EMC Data Science Big Data Analytics Certification,Introduction Course Agenda Introduction Big Data Analytics Big Data Overview State Practice Analytics Data Scientist Big Data Analytics Industry Verticals Data Analytics Lifecycle Discovery Data Preparation Model Planning Model Building Communicating Results Operationalizing Review Basic Data Analytic Methods Using R R Look Data R Analyzing Exploring Data Statistics Model Building Evaluation Advanced Analytics Theory Methods K Means Clustering Association Rules Linear Regression Logistic Regression Naïve Bayesian Classifier Decision Trees Time Series Analysis Text Analysis Advanced Analytics Technologies Tools Unstructured Data MapReduce Hadoop Ecosystem In database Analytics SQL Essentials SQL MADlib In database Analytics Endgame Operationalizing Analytics Project Creating Final Deliverables Data Visualization Techniques Final Lab Exercise Big Data Analytics 
165,MongoDB Certified Developer,MongoDB Certified Developer,database concepts Fundamentals system programming Basic JavaScript programming Fundamentals software development CRUD Create Read Update Delete operations Indexing Performance Single key compound multi key mechanics storage engines performance Aggregation Pipeline operators memory usage sort skip limit Data Modeling Embedding references document growth modeling one-to-one and one-to-many relationships modeling atomic operations modeling tree structures Replication Configuration oplog concepts write concern elections failover deployment multiple data centers Sharding Components shard balancing shard keys hashed shard keys
166,Certified Analytics Professional (CAP),Certified Analytics Professional CAP, Business Problem Framing Analytics Problem Framing Working Data Methodology Selection Model Building Model Deployment Life-Cycle Management Probability Statistics Simulation Predictive Analytics Causal Models Optimization Decision Analysis Anomaly Detection Bayesian Regression Modeling via MCMC Techniques Bayesian Statistics R Cluster Analysis Customer Analytics R Discrete Choice Modeling Conjoint Analysis Financial Risk Modeling Forecasting Analytics Interactive Data Visualization Bayesian Computing Techniques Introduction Bayesian Statistics Design Experiments Network Analysis Logistic Regression Mapping R Matrix Algebra Modeling Count Data Modeling R Natural Language Processing Natural Language Processing Using NLTK Optimization Linear Programming Predictive Analytics Machine Learning Tools Predictive Analytics Machine Learning Tools Python Predictive Analytics R Predictive Analytics Neural Nets Regression Predictive Analytics Neural Nets Regression Dimension Reduction Clustering Association Rules Dimension Reduction Clustering Association Rules R Python Statistical Analysis R Programming Intermediate R Programming R Programming  Regression Analysis Risk Simulation Queuing Spatial Statistics GIS Using R SQL Database Queries Survival Analysis Text Mining Using Python Visualization R ggplot2 
167,Data Science Council of America (DASCA) Principle Data Scientist (PDS),Data Science Council of America DASCA Principle Data Scientist PDS,Data Science Applications in Business Functional Framework Data Science Driving Business Through Big Data Analytics Building Pan-Organization Support Data Science Essentials for Data Scientists Big Data Analytics Essentials for Data Scientists Advanced Data Science Data Scientists
168,Open Certified Data Scientist (Open CDS),Open Certified Data Scientist Open CDS,
169,SAS Certified Advanced Analytics Professional,SAS Certified Advanced Analytics Professional,Prepare data Build predictive models Assess implement models Perform pattern analysis Deploying open source models SAS Text analytics Experiment design business Optimization techniques Time series forecasting Machine learning predictive modeling techniques Application machine learning predictive modeling technique big distributed in-memory data sets
170,SAS Certified Data Scientist,SAS Certified Data Scientist,Manipulate gain insights big data variety SAS open source tools Make business recommendations complex machine learning models Deploy models scale flexible robust SAS environment
171,Google Certified Professional Data Engineer,Google Certified Professional Data Engineer,collecting transforming publishing data design build operationalize secure monitor data processing systems security compliance scalability efficiency reliability fidelity flexibility portability Operationalizing machine learning models
172,Google Data Machine Learning,Google Data Machine Learning, designs builds productionizes ML models Google Cloud technologies knowledge proven ML models techniques training retraining deploying scheduling monitoring ML Engineer designs ML problems Architect ML solutions Design data preparation processing systems Develop ML models Monitoring optimizing maintaining ML Automate orchestrate ML pipelines orchestrating pipelines Monitor optimize solutions data preparation processing
173,Cloudera Certified Associate Data Analyst,Cloudera Certified Associate Data Analyst,Provide Structure Data Language DDL statements create alter structures metastore Hive Impala Create tables data types delimiters file formats Create tables existing tables define schema Improve query performance partitioned tables Alter tables modify existing schema Create views Data Analysis Query Language QL statements Hive Impala analyze data cluster Prepare reports SELECT commands unions subqueries Calculate aggregate statistics sums averages query Create queries against multiple data sources using join commands Transform output format queries using built-in functions Perform queries group windowing functions
174,Cloudera Certified Professional CCP Data Engineer,Cloudera Certified Professional CCP Data Engineer,Create tables data types delimiters file formats Create new tables existing tables define schema Improve query performance creating partitioned tables metastore Alter tables modify existing schema Create views Prepare reports SELECT commands unions subqueries Calculate aggregate statistics sums averages Create queries against multiple data sources join commands Transform output format queries using built-in functions Perform queries group rows using windowing functions 
175,IBM Data Science Professional Certificate,IBM Data Science Professional Certificate,"Data Science methodology Jupyter notebooks create Python apps access relational databases SQL Python use Python libraries generate data visualizations perform data analysis Pandas construct evaluate Machine Learning models Scikit-learn SciPy data science ML Recommender Systems Artificial Intelligence Data Visualization Data Analysis Data Science Machine Learning ML Python SQL Database Jupyter Notebook AI Watson Studio IBM Cloud Db2 Pandas NumPy Bokeh Matplotlib Folium Seaborn Scikit-learn SciPy RStudio Zeppelin Regression Clustering Classification Location Methodology Foursquare Data Science Orientation Tools Data Science Data Science Methodology Python Data Science AI Databases SQL Data Science
Data Visualization Python Data Analysis Python Machine Learning Python Applied Data Science Capstone"
176,Microsoft Certified Solutions Expert (MCSE) Data Management and Analytics,Microsoft Certified Solutions Expert MCSE Data Management Analytics,Microsoft SQL Server Databases Designing Database Solutions Microsoft SQL Server Implementing Data Models Reports Microsoft SQL Server Designing Business Intelligence Solutions Microsoft SQL Server Developing SQL Databases Data Warehouse SQL Developing Data Models Microsoft Azure Cosmos DB Solutions Prerequisite MCSA SQL Server MCSA SQL Database Development SQL Database Administration MCSA SQL BI Development BI Reporting data center identity management systems management virtualization storage networking 
177,Microsoft Certified Azure Data Scientist Associate,Microsoft Certified Azure Data Scientist Associate,planning creating environment data science workloads Azure data experiments train predictive models manage optimize deploy machine learning models production AI visual tools Scikit-Learn PyTorch Tensorflow
179,APICS Certified Supply Chain Professional (CSCP),APICS Certified Supply Chain Professional CSCP,Supply Chains Demand Management Forecasting Global Supply Chain Networks Sourcing Products Services Internal Operations Inventory Forward Reverse Logistics Supply Chain Relationships Supply Chain Risk Optimization Sustainability Technology Manufacturing Consulting Education Government Services Defense Healthcare Distribution Pharmaceutical Manufacturing Consulting Education Government Services Defense Healthcare Distribution Pharmaceutical 
180,APICS Certified in Production and Inventory Management (CPIM),APICS Certified Production Inventory Management CPIM, Supply Chain Overview Fundamentals Demand Management Plan Supply Execute Supply Plan Inventory Management Continuous Improvement Quality Management Technologies Strategy Sales Operations Planning Demand Supply Inventory Detailed Schedules Distribution Quality Continuous Improvement Technology
181,"APICS Certified in Logistics, Transportation and Distribution (CLTD)",APICS Certified Logistics Transportation Distribution CLTD,Manufacturing Consulting Education Government Services Defense Healthcare Distribution Pharmaceutical Logistics Strategy Logistics Network Design Sustainability Reverse Logistics Capacity Planning Demand Management Order Management Inventory Management Warehouse Management Transportation Global Logistics 
182,ISM Certified Professional in Supply Management (CPSM),ISM Certified Professional Supply Management CPSM,Sourcing Category Management Negotiation Legal Contractual Supplier Relationship Management Cost Price Management Financial Analysis Supply Chain Strategy Sales Operations Planning Quality Management Logistics Material Management Project Management Leadership Business Acumen Systems Capability Technology Risk Compliance Corporate Social Responsibility
183,CSCMP SCPro Certification,CSCMP SCPro Certification,Supply Chain Management Principles Customer Service Operations Transportation Operations Warehousing Operations Demand Planning Inventory Management Manufacturing Service Operations Supply Management Procurement
184,SOLE Certified Professional Logistician (CPL),SOLE Certified Professional Logistician CPL,System hardware software System life cycle process phases Logistics support Relationship integration systems engineering logistics support functions System evaluation factors methodology Logistics planning Proposals contract negotiations Organization logistics Staffing directing controlling 
185,NCMA Certified Professional Contract Manager (CPCM),NCMA Certified Professional Contract Manager CPCM, Business Management Financial Management Project Management Risk Management Supply Chain Management Contract Principles Standards Conduct Regulatory Compliance Situational Assessment Team Dynamics Communication Documentation Develop Solicitation Plan Solicitation Request Offers Develop Proposal Plan Sales Prepare Offer Form Contract Cost Price Analysis Plan Negotiations Select Source Manage Disagreements Perform Contract Administer Contract Ensure Quality Manage Subcontracts Manage Changes Close Contract Close Out Contract Continuous Learning Individual Competence Organizational Capability 
186,Project Management Professional (PMP),Project Management Professional PMP,"Project Integration Management Develop Project Charter develop Project Management Plan Direct Manage Project Work Monitor Control Project Work Perform Integrated Change Control	Project Scope Management Plan Scope Management Collect Requirement Define Scopes Create WBS Validate Scope Control Scope  project Time Management Plan Schedule Management Define Activities Sequence Activities Estimate Activity Resources Estimate Activity Duration Develop Schedule Control Schedule Project Cost Management Plan Cost Management Estimate Costs Determine Budget Control Costs Project Quality Management Plan Quality Management Perform Quality Assurance Control Quality Project HR Management Plan HR Management Acquire Project Team Develop Project Team Manage Project Team Project Communication Management Plan Communication Management Manage Communications Control Communications Project Risk Management Plan Risk Management Identify Risks Plan Qualitative Risk Analysis Plan Quantitative Risk Analysis Plan Risk Responses Control Risks project Procurement Management Plan Procurement Management Conduct Procurement Control Procurement Close Procurement project Stakeholder Management Identify Stakeholders Plan Stakeholders Management Manage Stakeholders Engagement Manage Stakeholders Engagement Predictive (waterfall) Agile Hybrid People emphasizing the soft skills you need to effectively lead a project team in today's changing environment Process reinforcing the technical aspects of successfully managing projects Business Environment highlighting the connection between projects and organizational strategy"
187,Certified Six Sigma Black Belt (CSSBB),Certified Six Sigma Black Belt CSSBB,Business opportunity Problem statement Objective primary secondary metrics Scope Cost poor quality COPQ Project teams Histogram Dot plot Boxplot Scatterplot Time series plot Pareto chart Types data Accuracy versus precision Mean median mode Range interquartile range variance standard deviation Sample versus population Percentiles Central limit theorem Confidence intervals Normal distribution Exponential Weibull lognormal Binomial Poisson Value stream flow Batch versus single piece flow Seven forms waste Push versus pull systems Kanbans work cells Supply chain just-in-time 5S sort straighten shine standardize sustain visual management Standard work OEE overall equipment effectiveness Sampling bias Sampling techniques  random stratified random systematic rational subgrouping Power sample size calculations Process stability Normal capability analysis Cp Cpk CPM Pp Ppk Non-normal capability analysis Binomial Poisson capability analysis Rolled yield RTY defect per unit DPU defects per million opportunities DPMO Sigma level shift Variable gage R&R Destructive testing Crossed versus nested designs Attribute Gage R&R Failure mode effects analysis FMEA Multi-vari analysis Inferential probability distributions Normal Chi-square Binomial Poisson Hypothesis testing Anderson-Darling normality test One-sample t-test Two-sample t-test Paired t-test One-way analysis variance ANOVA One-sample test variation Two-sample test variation Test equal variance One-sample sign Mood’s median test One-proportion test Two-proportion test Chi-squared contingency table One-sample Poisson rate Two-sample Poisson rate General ANOVA Correlation regression Multiple regression Binary logistic regression Design experiments DOE strategies 2k full factorial DOE DOE center points blocking covariates 2k fractional factorial DOE General full factorial DOE Central composite design improve Innovative solutions brainstorming Pugh matrix DOE multiple response optimization Response surface methodology Evolutionary operation EVOP Lean measures time  lead time takt time completion time cycle time Value stream mapping Time value mapping constraints Load charts line balancing Spaghetti chart Queuing theory Self-inspection Training Checklist Process simplification Mistake proofing Control Statistical process control I-MR charts Xbar-R charts Xbar-S charts P-charts C-charts U-charts 
189,The Art of Service Master Data Management Certification,Service Master Data Management Certification,structured transactional data unknown less-organized questions raw external datasets data lakes data strategy data governance databases SQL integration master data management big data technologies relationships calculate basic statistics quality availability integrity data leveraging data collection sources consoles commands bug management analysis methods collect store data warehouse AWS services Amazon DynamoDB Amazon EMR MDM Blockchain technology Hadoop frameworks leverage AWS database management MongoDBdata Python SQL
190,DAMA Certified Data Management Professional (CDMP),DAMA Certified Data Management Professional CDMP,Data Warehousing Business Intelligence Analytics Data Information Quality Data Development Data Operations DBA Zachman Enterprise Architecture Framework2 Management Strategy Data Governance Data Quality Information Assurance Master Data Management Metadata Management Data Warehouse Business Intelligence Business Intelligence Data Warehouse developers architects Data Modellers Developers Data Architects Data Analysts Enterprise Architects Solution Architects Application Architects Information Architects Business Analysts Database Administrators Project Programme Managers IT Consultants Data Governance Managers Data Quality Managers Information Quality Practitioners Governance Quality Management Warehousing BI Management Metadata Modelling Architecture Security Privacy
191,Data Governance and Stewardship Professional (DGSP),Data Governance Stewardship Professional DGSP,data governance availability usability consistency data integrity data security Data Architecture Enterprise Data Integrity Methodologies Technologies Big Data Analytics Business Intelligence
192,eLearningCurve Certified Information Management Professional (CIMP) Master Data Management,eLearningCurve Certified Information Management Professional CIMP Master Data Management,Architecture Implementation Data Parsing Matching De-duplication Data Governance Metadata Management Data Privacy Protection Quality Assessment Ensuring Data Quality Data Integration Quality Scorecard Data Profiling Virtualization 
193,Informatica Master Data Management Administrator Certified Professional,Informatica Master Data Management Administrator Certified Professional,Informatica Master Data Management installation upgrade process components Master Data Management Hub Architecture Master Data Management Hub Administration tasks Troubleshooting performance tuning batch processes Hub Console Configuration Hub Store Base Objects Consolidate Process Cross-Reference XREF Tables Databases Hub Store History Tables Batch Processes Administration tasks Hub Console Metadata Manager Enterprise Manager Security Providers Security Access Manager configuration Database application server logging Troubleshooting
194,Informatica Master Data Management Developer Certified Professional,Informatica Master Data Management Developer Certified Professional,MDM Data Model Configuring Stage Process Load Process Fuzzy Matching MDM Entity 360 user interface data cleansing managing data Introduction MDM Multidomain Edition MDM Data Model Configure Stage Process Load Process Match Merge Processes Fuzzy Matching Merge Process Data Access Views Batch Processes CLI Support User Objects Product Features Entity 360 Customize User Interface Data Cleansing Smart Search Manage Data MDM Applications localization Log Files 
195,SAP Certified Application Associate SAP Master Data Governance,SAP Certified Application Associate SAP Master Data Governance,Master Data Governance Overview MDG Architecture Change Request process implementation Data Quality Analytics Consolidation Custom objects Solution Extensions Business Partner Customer Supplier domain specifics Financial domain specific capabilities replication key mapping Data Load Import Mass processing user interfaces Project Execution Material domain specific capabilities 
197,CCNP Service Provider Operations (CCNP),CCNP Service Provider Operations CCNP,"Building Scalable Networks Explain routing enterprise network Implement verify multicast forwarding using PIM Implement IPv6 enterprise network Implement verify EIGRP operations Build scalable multi-area network OSPF Certification Exam BSCI v3.0 Routing Protocols Campus Edge Implementing Secure Converged Wide-Area Networks broadband connections teleworkers Describe Cisco network architecture alignment connectivity requirements Describe MPLS conceptual odel data control planes Describe configure site-to-site IPSec VPN configure Cisco device hardening strategies mitigate network attacks ISCW Building Multilayer Switched Networks VLANS segment network traffic Explain Cisco hierarchy network model campus networks Implement Spanning Tree Protocol implement verify InterVLAN routing Design implement security features high-availability technologies techniques Describe configure wireless LAN access switch support voice BCMSN Optimizing Converged Networks converged network requirements Cisco network models wireless security principles VoIP network bandwidth VoIp packet encapsulation VoIp implementation QoS methods implement QoS key IP QoS mechanisms implement DiffServ Qos model Configure Cisco AutoQoS model Describe configure wireless security basic wireless
management "
198,Certified Information Systems Security Professional Architecture (CISSP),Certified Information Systems Security Professional Architecture CISSP,Chief Information Security Officer Chief Information Officer Director Security IT Director Manager Security Systems Engineer Security Analyst Security Manager Security Auditor Security Architect Security Consultant Network Architect governance compliance risk management Security operations architecture Architect application Identity access management IAM architecture Infrastructure security architecture modeling
200,Cisco CCIE,Cisco CCIE,Network Infrastructure Software Defined Infrastructure Transport Technologies Solutions Infrastructure Security Services Infrastructure Automation Programmability Deploy and verify model-driven telemetry Interaction with Cisco IOS XE API Automation and scripting Data encoding formats Traffic capture IPv4 Network Address Translation network lifecycle designing deploying operating optimizing
201,Cisco CCNP,Cisco CCNP,Implementing Operating Cisco Enterprise Network Core Technologies Implementing Cisco Enterprise Advanced Routing Services Solutions Designing Cisco Enterprise Networks Designing Cisco Enterprise Wireless Networks Implementing Cisco Enterprise Wireless Networks Automation Cisco Enterprise Solutions network design SD-WAN wireless automation network design SD-WAN wireless automation 
202,VMware Certified Professional Network Virtualization 2019 (VCP NV 2019),VMware Certified Professional Network Virtualization VCP-NV,network security Installing configuring upgrading VMware NSX Creating configuring VMware NSX virtualized networks VMware NSX architecture technology physical hardware requirements VMware NSX Configuration administration vSphere network environments
203,ONF Certified SDN Associate (OCSA),ONF Certified SDN Associate OCSA,"Networking Concepts SDN Concepts OpenFlow SDN Architecture Ecosystem Open Source Ethernet networks Collision domains broadcast domains routers switches Routing Protocols RIP OSPF ISIS BGP Optical network fundamentals SONET SDH OTN IP Network Services DHCP DNS ARP NAT ICMP Layer 2 addressing address resolution IPv4 IPv6 Layer 3 IP addressing subnet masks Longest match routing Connection-oriented connectionless protocols Packet Filtering Match Action Pairs SDN Clean Slate Ethane OpenFlow donation ONF control forwarding Value Proposition Cases Data Center Campus Networks Service Providers Enterprise Mobile Networks Plane Separation Simplified Forwarding Element Centralized Control Network Automation Virtualization Openness SDN Devices Controllers Switches Orchestration API Overlay Networking Abstractions NFV VxLAN TCP level secure channel communication session establishment controller switch Message Operation Packet Matching Proactive Reactive Flows Statistics Counters flow Policy Enforcement Configuration Protocol OF-Config OAM OFDPA OVSDB flow Table Entry Format Flow Pipeline Processing Match Types Actions SDN Layers SDN Architecture compared Traditional Network Architectures Security Availability Packet Optical Integration methods Migration Strategies
Hybrid Mode Switches Organization SDN Ecosystem Standards Bodies Industry alliances Network Operators Enterprises Network Equipment Manufacturers Software vendors Academic Industry research institutions Open Source Initiatives "
204,Certified Wireless Network Administrator (CWNA),Certified Wireless Network Administrator CWNA,Radio Frequency RF Technologies Antenna Concepts Wireless LAN Hardware Software Network Design Installation Management Wireless Standards Organizations 802.11 Network Architecture Wireless LAN Security
205,AWS Certified Advanced Networking,AWS Certified Advanced Networking,Designing developing launching cloud-based solutions Implementing core services AWS adherence architecture Designing implementing maintaining networking architecture 
206,Juniper Networks Certified Enterprise Routing and Switching Expert (JNCIE),Juniper Networks Certified Enterprise Routing Switching Expert JNCIE,Layer two switching security Working virtual LANs Managing protocol-independent routing Routing high availability Administration Juniper switches routers managing Junos OS Automation IGP BGP
207,Cisco CCNA,Cisco CCNA,Automation Programmability Security Fundamentals IP Services IP Connectivity Network Access Network Fundamentals network components network topology architectures  physical interface cabling types Identify interface cable issues collisions errors mismatch duplex Configure verify IPv4 addressing subnetting IPv6 address types Global unicast Unique local Link local anycast Multicast Modified EUI 64 Client OS Windows Mac OS Linux wireless principles switching concepts virtualization fundamentals virtual machines verify VLANs normal range spanning multiple switches interswitch connectivity basic operations Rapid PVST Spanning Tree Protocol basic operations Cisco Wireless Architectures AP modes physical infrastructure connections WLAN components AP WLC access trunk ports LAG AP WLC management access connections Telnet SSH HTTP HTTPS console TACACS+ RADIUS wireless LAN access client connectivity GUI verify single area OSPFv2 WLAN creation security settings QoS profiles advanced WLAN settings routing table IPv4 IPv6 static routing Define key security concepts threats vulnerabilities exploits mitigation techniques security program elements awareness training physical access control Configure device access control local passwords security password policies elements management complexity password multifactor authentication certificates biometrics remote access site-to-site VPNs Configure verify control lists Layer 2 security DHCP snooping dynamic ARP inspection port security network management controller-based networking controller-based software defined architectures authentication authorization accounting concepts wireless security protocols WPA WPA2 WPA3 WLAN WPA2 PSK GUI
209,CISSP Certified Information Systems Security Professional,CISSP Certified Information Systems Security Professional,Chief Information Security Officer Chief Information Officer Director Security IT Director Manager Security Systems Engineer Security Analyst Security Manager Security Auditor Security Architect Security Consultant Network Architect governance compliance risk management Security operations architecture Architect application Identity access management IAM architecture Infrastructure security architecture modeling
210,CISM Certified Information Security Manager,CISM Certified Information Security Manager,INFORMATION SECURITY GOVERNANCE INFORMATION RISK MANAGEMENT INFORMATION SECURITY PROGRAM DEVELOPMENT MANAGEMENT INFORMATION SECURITY INCIDENT MANAGEMENT networking cyber security information security strategy analysis gap analysis threat research information security business security governance frameworks assess plan design implement an information security governance framework budgetary planning social media business environment risk tolerance regulatory requirements third-party considerations threat landscape data owners end-users privileged high-risk 
